city,year,weekofyear,total_cases
sj,2008,18,-11
sj,2008,19,-9
sj,2008,20,-8
sj,2008,21,-8
sj,2008,22,-9
sj,2008,23,-10
sj,2008,24,-10
sj,2008,25,-3
sj,2008,26,1
sj,2008,27,7
sj,2008,28,15
sj,2008,29,20
sj,2008,30,27
sj,2008,31,31
sj,2008,32,41
sj,2008,33,53
sj,2008,34,59
sj,2008,35,64
sj,2008,36,68
sj,2008,37,68
sj,2008,38,75
sj,2008,39,78
sj,2008,40,83
sj,2008,41,83
sj,2008,42,77
sj,2008,43,74
sj,2008,44,65
sj,2008,45,66
sj,2008,46,53
sj,2008,47,49
sj,2008,48,51
sj,2008,49,43
sj,2008,50,41
sj,2008,51,37
sj,2008,52,38
sj,2009,1,42
sj,2009,2,46
sj,2009,3,45
sj,2009,4,45
sj,2009,5,44
sj,2009,6,46
sj,2009,7,42
sj,2009,8,37
sj,2009,9,35
sj,2009,10,30
sj,2009,11,25
sj,2009,12,24
sj,2009,13,26
sj,2009,14,21
sj,2009,15,23
sj,2009,16,25
sj,2009,17,26
sj,2009,18,24
sj,2009,19,23
sj,2009,20,19
sj,2009,21,25
sj,2009,22,23
sj,2009,23,24
sj,2009,24,23
sj,2009,25,21
sj,2009,26,23
sj,2009,27,26
sj,2009,28,26
sj,2009,29,30
sj,2009,30,30
sj,2009,31,30
sj,2009,32,32
sj,2009,33,32
sj,2009,34,40
sj,2009,35,48
sj,2009,36,52
sj,2009,37,60
sj,2009,38,61
sj,2009,39,68
sj,2009,40,70
sj,2009,41,67
sj,2009,42,69
sj,2009,43,68
sj,2009,44,66
sj,2009,45,66
sj,2009,46,64
sj,2009,47,64
sj,2009,48,67
sj,2009,49,70
sj,2009,50,67
sj,2009,51,61
sj,2009,52,66
sj,2010,53,59
sj,2010,1,56
sj,2010,2,50
sj,2010,3,50
sj,2010,4,50
sj,2010,5,44
sj,2010,6,41
sj,2010,7,35
sj,2010,8,35
sj,2010,9,39
sj,2010,10,33
sj,2010,11,29
sj,2010,12,29
sj,2010,13,30
sj,2010,14,32
sj,2010,15,23
sj,2010,16,24
sj,2010,17,35
sj,2010,18,38
sj,2010,19,36
sj,2010,20,42
sj,2010,21,41
sj,2010,22,48
sj,2010,23,44
sj,2010,24,40
sj,2010,25,43
sj,2010,26,41
sj,2010,27,40
sj,2010,28,36
sj,2010,29,35
sj,2010,30,42
sj,2010,31,47
sj,2010,32,46
sj,2010,33,41
sj,2010,34,45
sj,2010,35,48
sj,2010,36,49
sj,2010,37,46
sj,2010,38,48
sj,2010,39,47
sj,2010,40,48
sj,2010,41,49
sj,2010,42,47
sj,2010,43,48
sj,2010,44,54
sj,2010,45,61
sj,2010,46,60
sj,2010,47,59
sj,2010,48,56
sj,2010,49,54
sj,2010,50,47
sj,2010,51,42
sj,2011,52,42
sj,2011,1,36
sj,2011,2,33
sj,2011,3,33
sj,2011,4,33
sj,2011,5,24
sj,2011,6,16
sj,2011,7,14
sj,2011,8,15
sj,2011,9,16
sj,2011,10,16
sj,2011,11,12
sj,2011,12,17
sj,2011,13,22
sj,2011,14,23
sj,2011,15,20
sj,2011,16,23
sj,2011,17,25
sj,2011,18,24
sj,2011,19,26
sj,2011,20,42
sj,2011,21,56
sj,2011,22,51
sj,2011,23,42
sj,2011,24,49
sj,2011,25,43
sj,2011,26,37
sj,2011,27,28
sj,2011,28,22
sj,2011,29,17
sj,2011,30,9
sj,2011,31,0
sj,2011,32,-4
sj,2011,33,-2
sj,2011,34,2
sj,2011,35,11
sj,2011,36,12
sj,2011,37,14
sj,2011,38,24
sj,2011,39,20
sj,2011,40,21
sj,2011,41,15
sj,2011,42,13
sj,2011,43,17
sj,2011,44,22
sj,2011,45,24
sj,2011,46,28
sj,2011,47,36
sj,2011,48,40
sj,2011,49,46
sj,2011,50,47
sj,2011,51,47
sj,2012,52,41
sj,2012,1,42
sj,2012,2,40
sj,2012,3,33
sj,2012,4,29
sj,2012,5,24
sj,2012,6,23
sj,2012,7,20
sj,2012,8,22
sj,2012,9,20
sj,2012,10,16
sj,2012,11,19
sj,2012,12,15
sj,2012,13,21
sj,2012,14,25
sj,2012,15,26
sj,2012,16,25
sj,2012,17,23
sj,2012,18,19
sj,2012,19,19
sj,2012,20,15
sj,2012,21,14
sj,2012,22,14
sj,2012,23,12
sj,2012,24,14
sj,2012,25,15
sj,2012,26,13
sj,2012,27,28
sj,2012,28,36
sj,2012,29,44
sj,2012,30,53
sj,2012,31,58
sj,2012,32,65
sj,2012,33,66
sj,2012,34,73
sj,2012,35,74
sj,2012,36,80
sj,2012,37,80
sj,2012,38,75
sj,2012,39,70
sj,2012,40,61
sj,2012,41,61
sj,2012,42,58
sj,2012,43,64
sj,2012,44,67
sj,2012,45,67
sj,2012,46,72
sj,2012,47,71
sj,2012,48,75
sj,2012,49,76
sj,2012,50,80
sj,2012,51,77
sj,2013,1,73
sj,2013,2,66
sj,2013,3,64
sj,2013,4,63
