city,year,weekofyear,total_cases
sj,2008,18,21
sj,2008,19,21
sj,2008,20,25
sj,2008,21,21
sj,2008,22,40
sj,2008,23,23
sj,2008,24,20
sj,2008,25,26
sj,2008,26,24
sj,2008,27,25
sj,2008,28,21
sj,2008,29,46
sj,2008,30,25
sj,2008,31,50
sj,2008,32,66
sj,2008,33,72
sj,2008,34,102
sj,2008,35,85
sj,2008,36,111
sj,2008,37,129
sj,2008,38,63
sj,2008,39,52
sj,2008,40,42
sj,2008,41,76
sj,2008,42,56
sj,2008,43,64
sj,2008,44,74
sj,2008,45,60
sj,2008,46,45
sj,2008,47,62
sj,2008,48,81
sj,2008,49,68
sj,2008,50,45
sj,2008,51,46
sj,2008,52,61
sj,2009,1,39
sj,2009,2,57
sj,2009,3,37
sj,2009,4,31
sj,2009,5,27
sj,2009,6,47
sj,2009,7,28
sj,2009,8,27
sj,2009,9,17
sj,2009,10,10
sj,2009,11,14
sj,2009,12,14
sj,2009,13,11
sj,2009,14,12
sj,2009,15,10
sj,2009,16,13
sj,2009,17,13
sj,2009,18,15
sj,2009,19,20
sj,2009,20,15
sj,2009,21,12
sj,2009,22,10
sj,2009,23,14
sj,2009,24,17
sj,2009,25,13
sj,2009,26,23
sj,2009,27,14
sj,2009,28,13
sj,2009,29,22
sj,2009,30,19
sj,2009,31,27
sj,2009,32,49
sj,2009,33,54
sj,2009,34,46
sj,2009,35,42
sj,2009,36,62
sj,2009,37,68
sj,2009,38,48
sj,2009,39,48
sj,2009,40,94
sj,2009,41,83
sj,2009,42,66
sj,2009,43,69
sj,2009,44,60
sj,2009,45,76
sj,2009,46,64
sj,2009,47,74
sj,2009,48,71
sj,2009,49,66
sj,2009,50,69
sj,2009,51,68
sj,2009,52,84
sj,2010,53,71
sj,2010,1,81
sj,2010,2,76
sj,2010,3,58
sj,2010,4,43
sj,2010,5,65
sj,2010,6,41
sj,2010,7,40
sj,2010,8,56
sj,2010,9,26
sj,2010,10,28
sj,2010,11,30
sj,2010,12,28
sj,2010,13,23
sj,2010,14,19
sj,2010,15,17
sj,2010,16,25
sj,2010,17,33
sj,2010,18,37
sj,2010,19,37
sj,2010,20,16
sj,2010,21,40
sj,2010,22,38
sj,2010,23,74
sj,2010,24,82
sj,2010,25,41
sj,2010,26,42
sj,2010,27,82
sj,2010,28,155
sj,2010,29,127
sj,2010,30,95
sj,2010,31,90
sj,2010,32,145
sj,2010,33,102
sj,2010,34,132
sj,2010,35,130
sj,2010,36,169
sj,2010,37,142
sj,2010,38,89
sj,2010,39,67
sj,2010,40,90
sj,2010,41,136
sj,2010,42,100
sj,2010,43,80
sj,2010,44,67
sj,2010,45,68
sj,2010,46,73
sj,2010,47,60
sj,2010,48,66
sj,2010,49,68
sj,2010,50,63
sj,2010,51,45
sj,2011,52,71
sj,2011,1,41
sj,2011,2,38
sj,2011,3,39
sj,2011,4,36
sj,2011,5,23
sj,2011,6,29
sj,2011,7,24
sj,2011,8,13
sj,2011,9,19
sj,2011,10,11
sj,2011,11,15
sj,2011,12,12
sj,2011,13,11
sj,2011,14,11
sj,2011,15,10
sj,2011,16,12
sj,2011,17,12
sj,2011,18,12
sj,2011,19,9
sj,2011,20,13
sj,2011,21,17
sj,2011,22,11
sj,2011,23,30
sj,2011,24,25
sj,2011,25,50
sj,2011,26,58
sj,2011,27,47
sj,2011,28,57
sj,2011,29,71
sj,2011,30,91
sj,2011,31,119
sj,2011,32,150
sj,2011,33,87
sj,2011,34,102
sj,2011,35,120
sj,2011,36,46
sj,2011,37,76
sj,2011,38,83
sj,2011,39,73
sj,2011,40,75
sj,2011,41,75
sj,2011,42,44
sj,2011,43,73
sj,2011,44,73
sj,2011,45,80
sj,2011,46,62
sj,2011,47,68
sj,2011,48,55
sj,2011,49,76
sj,2011,50,58
sj,2011,51,39
sj,2012,52,39
sj,2012,1,37
sj,2012,2,46
sj,2012,3,24
sj,2012,4,32
sj,2012,5,28
sj,2012,6,23
sj,2012,7,27
sj,2012,8,20
sj,2012,9,17
sj,2012,10,14
sj,2012,11,14
sj,2012,12,19
sj,2012,13,13
sj,2012,14,13
sj,2012,15,13
sj,2012,16,13
sj,2012,17,8
sj,2012,18,18
sj,2012,19,14
sj,2012,20,20
sj,2012,21,17
