city,year,weekofyear,total_cases
sj,2008,18,19
sj,2008,19,21
sj,2008,20,19
sj,2008,21,17
sj,2008,22,21
sj,2008,23,19
sj,2008,24,17
sj,2008,25,19
sj,2008,26,28
sj,2008,27,21
sj,2008,28,24
sj,2008,29,35
sj,2008,30,35
sj,2008,31,90
sj,2008,32,70
sj,2008,33,67
sj,2008,34,94
sj,2008,35,62
sj,2008,36,99
sj,2008,37,130
sj,2008,38,48
sj,2008,39,61
sj,2008,40,45
sj,2008,41,50
sj,2008,42,42
sj,2008,43,74
sj,2008,44,85
sj,2008,45,86
sj,2008,46,45
sj,2008,47,44
sj,2008,48,78
sj,2008,49,56
sj,2008,50,41
sj,2008,51,41
sj,2008,52,53
sj,2009,1,35
sj,2009,2,50
sj,2009,3,40
sj,2009,4,36
sj,2009,5,32
sj,2009,6,27
sj,2009,7,27
sj,2009,8,23
sj,2009,9,18
sj,2009,10,13
sj,2009,11,15
sj,2009,12,12
sj,2009,13,13
sj,2009,14,11
sj,2009,15,12
sj,2009,16,13
sj,2009,17,15
sj,2009,18,16
sj,2009,19,25
sj,2009,20,12
sj,2009,21,12
sj,2009,22,11
sj,2009,23,13
sj,2009,24,13
sj,2009,25,11
sj,2009,26,13
sj,2009,27,13
sj,2009,28,14
sj,2009,29,22
sj,2009,30,21
sj,2009,31,41
sj,2009,32,57
sj,2009,33,51
sj,2009,34,43
sj,2009,35,47
sj,2009,36,92
sj,2009,37,67
sj,2009,38,48
sj,2009,39,67
sj,2009,40,95
sj,2009,41,80
sj,2009,42,45
sj,2009,43,70
sj,2009,44,59
sj,2009,45,55
sj,2009,46,82
sj,2009,47,68
sj,2009,48,58
sj,2009,49,78
sj,2009,50,50
sj,2009,51,50
sj,2009,52,52
sj,2010,53,76
sj,2010,1,49
sj,2010,2,46
sj,2010,3,65
sj,2010,4,45
sj,2010,5,33
sj,2010,6,53
sj,2010,7,26
sj,2010,8,29
sj,2010,9,24
sj,2010,10,26
sj,2010,11,24
sj,2010,12,23
sj,2010,13,22
sj,2010,14,18
sj,2010,15,19
sj,2010,16,27
sj,2010,17,40
sj,2010,18,18
sj,2010,19,27
sj,2010,20,22
sj,2010,21,31
sj,2010,22,23
sj,2010,23,28
sj,2010,24,62
sj,2010,25,42
sj,2010,26,42
sj,2010,27,67
sj,2010,28,108
sj,2010,29,105
sj,2010,30,99
sj,2010,31,67
sj,2010,32,135
sj,2010,33,139
sj,2010,34,138
sj,2010,35,104
sj,2010,36,161
sj,2010,37,124
sj,2010,38,84
sj,2010,39,80
sj,2010,40,91
sj,2010,41,146
sj,2010,42,114
sj,2010,43,62
sj,2010,44,68
sj,2010,45,52
sj,2010,46,51
sj,2010,47,44
sj,2010,48,60
sj,2010,49,48
sj,2010,50,78
sj,2010,51,76
sj,2011,52,49
sj,2011,1,44
sj,2011,2,37
sj,2011,3,39
sj,2011,4,44
sj,2011,5,23
sj,2011,6,24
sj,2011,7,22
sj,2011,8,14
sj,2011,9,13
sj,2011,10,15
sj,2011,11,13
sj,2011,12,14
sj,2011,13,11
sj,2011,14,14
sj,2011,15,16
sj,2011,16,14
sj,2011,17,11
sj,2011,18,11
sj,2011,19,10
sj,2011,20,13
sj,2011,21,13
sj,2011,22,10
sj,2011,23,23
sj,2011,24,16
sj,2011,25,41
sj,2011,26,48
sj,2011,27,25
sj,2011,28,43
sj,2011,29,66
sj,2011,30,74
sj,2011,31,110
sj,2011,32,90
sj,2011,33,89
sj,2011,34,95
sj,2011,35,86
sj,2011,36,57
sj,2011,37,84
sj,2011,38,62
sj,2011,39,61
sj,2011,40,52
sj,2011,41,63
sj,2011,42,48
sj,2011,43,43
sj,2011,44,72
sj,2011,45,52
sj,2011,46,43
sj,2011,47,43
sj,2011,48,64
sj,2011,49,54
sj,2011,50,41
sj,2011,51,41
sj,2012,52,35
sj,2012,1,37
sj,2012,2,40
sj,2012,3,30
sj,2012,4,36
sj,2012,5,28
sj,2012,6,25
sj,2012,7,24
sj,2012,8,23
sj,2012,9,20
sj,2012,10,17
sj,2012,11,15
sj,2012,12,27
sj,2012,13,12
sj,2012,14,13
sj,2012,15,14
sj,2012,16,12
sj,2012,17,10
sj,2012,18,23
sj,2012,19,13
sj,2012,20,29
sj,2012,21,12
sj,2012,22,14
sj,2012,23,17
sj,2012,24,12
sj,2012,25,38
sj,2012,26,22
sj,2012,27,41
sj,2012,28,52
sj,2012,29,31
sj,2012,30,94
sj,2012,31,98
