city,year,weekofyear,total_cases
sj,2008,18,10
sj,2008,19,11
sj,2008,20,12
sj,2008,21,11
sj,2008,22,13
sj,2008,23,12
sj,2008,24,11
sj,2008,25,13
sj,2008,26,11
sj,2008,27,10
sj,2008,28,17
sj,2008,29,26
sj,2008,30,47
sj,2008,31,35
sj,2008,32,29
sj,2008,33,37
sj,2008,34,64
sj,2008,35,55
sj,2008,36,102
sj,2008,37,77
sj,2008,38,64
sj,2008,39,66
sj,2008,40,62
sj,2008,41,62
sj,2008,42,64
sj,2008,43,72
sj,2008,44,64
sj,2008,45,52
sj,2008,46,53
sj,2008,47,45
sj,2008,48,39
sj,2008,49,39
sj,2008,50,37
sj,2008,51,33
sj,2008,52,29
sj,2009,1,36
sj,2009,2,34
sj,2009,3,33
sj,2009,4,31
sj,2009,5,13
sj,2009,6,8
sj,2009,7,10
sj,2009,8,11
sj,2009,9,11
sj,2009,10,11
sj,2009,11,13
sj,2009,12,14
sj,2009,13,17
sj,2009,14,15
sj,2009,15,9
sj,2009,16,8
sj,2009,17,8
sj,2009,18,8
sj,2009,19,9
sj,2009,20,9
sj,2009,21,10
sj,2009,22,13
sj,2009,23,13
sj,2009,24,13
sj,2009,25,15
sj,2009,26,16
sj,2009,27,15
sj,2009,28,17
sj,2009,29,21
sj,2009,30,21
sj,2009,31,30
sj,2009,32,54
sj,2009,33,36
sj,2009,34,35
sj,2009,35,33
sj,2009,36,33
sj,2009,37,30
sj,2009,38,35
sj,2009,39,38
sj,2009,40,41
sj,2009,41,42
sj,2009,42,44
sj,2009,43,43
sj,2009,44,40
sj,2009,45,39
sj,2009,46,40
sj,2009,47,38
sj,2009,48,34
sj,2009,49,33
sj,2009,50,29
sj,2009,51,25
sj,2009,52,24
sj,2010,53,23
sj,2010,1,29
sj,2010,2,28
sj,2010,3,47
sj,2010,4,39
sj,2010,5,45
sj,2010,6,65
sj,2010,7,44
sj,2010,8,20
sj,2010,9,18
sj,2010,10,18
sj,2010,11,24
sj,2010,12,31
sj,2010,13,19
sj,2010,14,14
sj,2010,15,17
sj,2010,16,14
sj,2010,17,39
sj,2010,18,48
sj,2010,19,28
sj,2010,20,34
sj,2010,21,33
sj,2010,22,40
sj,2010,23,21
sj,2010,24,32
sj,2010,25,41
sj,2010,26,42
sj,2010,27,91
sj,2010,28,119
sj,2010,29,80
sj,2010,30,80
sj,2010,31,82
sj,2010,32,103
sj,2010,33,90
sj,2010,34,116
sj,2010,35,128
sj,2010,36,134
sj,2010,37,135
sj,2010,38,94
sj,2010,39,83
sj,2010,40,79
sj,2010,41,113
sj,2010,42,104
sj,2010,43,92
sj,2010,44,79
sj,2010,45,60
sj,2010,46,51
sj,2010,47,57
sj,2010,48,62
sj,2010,49,58
sj,2010,50,36
sj,2010,51,32
sj,2011,52,34
sj,2011,1,28
sj,2011,2,25
sj,2011,3,14
sj,2011,4,15
sj,2011,5,9
sj,2011,6,10
sj,2011,7,11
sj,2011,8,8
sj,2011,9,9
sj,2011,10,14
sj,2011,11,11
sj,2011,12,9
sj,2011,13,7
sj,2011,14,6
sj,2011,15,6
sj,2011,16,8
sj,2011,17,9
sj,2011,18,10
sj,2011,19,10
sj,2011,20,11
sj,2011,21,10
sj,2011,22,13
sj,2011,23,19
sj,2011,24,24
sj,2011,25,28
sj,2011,26,36
sj,2011,27,39
sj,2011,28,53
sj,2011,29,54
sj,2011,30,77
sj,2011,31,78
sj,2011,32,114
sj,2011,33,91
sj,2011,34,126
sj,2011,35,84
sj,2011,36,61
sj,2011,37,59
sj,2011,38,67
sj,2011,39,74
sj,2011,40,73
sj,2011,41,65
sj,2011,42,58
sj,2011,43,46
sj,2011,44,41
sj,2011,45,44
sj,2011,46,43
sj,2011,47,53
sj,2011,48,52
sj,2011,49,36
sj,2011,50,35
sj,2011,51,31
sj,2012,52,31
sj,2012,1,32
sj,2012,2,32
sj,2012,3,32
sj,2012,4,31
sj,2012,5,26
sj,2012,6,19
sj,2012,7,21
sj,2012,8,10
sj,2012,9,8
sj,2012,10,8
sj,2012,11,7
sj,2012,12,7
sj,2012,13,7
sj,2012,14,6
sj,2012,15,8
sj,2012,16,9
sj,2012,17,11
sj,2012,18,12
sj,2012,19,14
sj,2012,20,16
sj,2012,21,19
sj,2012,22,18
sj,2012,23,17
sj,2012,24,15
sj,2012,25,16
sj,2012,26,19
sj,2012,27,26
sj,2012,28,26
sj,2012,29,44
sj,2012,30,31
sj,2012,31,35
sj,2012,32,49
sj,2012,33,45
sj,2012,34,43
sj,2012,35,41
sj,2012,36,40
sj,2012,37,41
sj,2012,38,38
sj,2012,39,39
sj,2012,40,43
sj,2012,41,56
sj,2012,42,84
sj,2012,43,71
sj,2012,44,64
sj,2012,45,65
sj,2012,46,63
sj,2012,47,48
sj,2012,48,42
sj,2012,49,44
sj,2012,50,56
sj,2012,51,42
sj,2013,1,42
sj,2013,2,39
sj,2013,3,40
sj,2013,4,42
sj,2013,5,55
sj,2013,6,27
sj,2013,7,22
sj,2013,8,11
sj,2013,9,14
sj,2013,10,13
sj,2013,11,9
sj,2013,12,9
sj,2013,13,8
sj,2013,14,9
sj,2013,15,10
sj,2013,16,6
sj,2013,17,7
iq,2010,26,5
iq,2010,27,4
iq,2010,28,6
iq,2010,29,5
iq,2010,30,5
iq,2010,31,3
iq,2010,32,4
iq,2010,33,5
iq,2010,34,4
iq,2010,35,4
iq,2010,36,6
iq,2010,37,5
iq,2010,38,7
iq,2010,39,5
iq,2010,40,7
iq,2010,41,6
iq,2010,42,12
iq,2010,43,18
iq,2010,44,17
iq,2010,45,14
iq,2010,46,14
iq,2010,47,11
iq,2010,48,17
iq,2010,49,10
iq,2010,50,15
iq,2010,51,9
iq,2011,52,8
iq,2011,1,9
iq,2011,2,9
iq,2011,3,8
iq,2011,4,5
iq,2011,5,5
iq,2011,6,7
iq,2011,7,8
iq,2011,8,10
iq,2011,9,9
iq,2011,10,8
iq,2011,11,8
iq,2011,12,8
iq,2011,13,8
iq,2011,14,7
iq,2011,15,8
iq,2011,16,6
iq,2011,17,9
iq,2011,18,10
iq,2011,19,5
iq,2011,20,6
iq,2011,21,6
iq,2011,22,4
iq,2011,23,6
iq,2011,24,5
iq,2011,25,5
iq,2011,26,3
iq,2011,27,3
iq,2011,28,3
iq,2011,29,3
iq,2011,30,2
iq,2011,31,5
iq,2011,32,4
iq,2011,33,4
iq,2011,34,3
iq,2011,35,5
iq,2011,36,4
iq,2011,37,5
iq,2011,38,5
iq,2011,39,7
iq,2011,40,7
iq,2011,41,9
iq,2011,42,13
iq,2011,43,8
iq,2011,44,8
iq,2011,45,9
iq,2011,46,9
iq,2011,47,12
iq,2011,48,17
iq,2011,49,8
iq,2011,50,7
iq,2011,51,9
iq,2012,52,9
iq,2012,1,8
iq,2012,2,6
iq,2012,3,6
iq,2012,4,4
iq,2012,5,8
iq,2012,6,10
iq,2012,7,5
iq,2012,8,6
iq,2012,9,5
iq,2012,10,8
iq,2012,11,5
iq,2012,12,3
iq,2012,13,7
iq,2012,14,3
iq,2012,15,9
iq,2012,16,9
iq,2012,17,8
iq,2012,18,11
iq,2012,19,4
iq,2012,20,12
iq,2012,21,7
iq,2012,22,6
iq,2012,23,4
iq,2012,24,6
iq,2012,25,6
iq,2012,26,8
iq,2012,27,4
iq,2012,28,3
iq,2012,29,4
iq,2012,30,5
iq,2012,31,4
iq,2012,32,3
iq,2012,33,4
iq,2012,34,8
iq,2012,35,5
iq,2012,36,6
iq,2012,37,4
iq,2012,38,8
iq,2012,39,11
iq,2012,40,9
iq,2012,41,16
iq,2012,42,12
iq,2012,43,12
iq,2012,44,9
iq,2012,45,12
iq,2012,46,11
iq,2012,47,15
iq,2012,48,10
iq,2012,49,6
iq,2012,50,5
iq,2012,51,7
iq,2013,1,10
iq,2013,2,14
iq,2013,3,20
iq,2013,4,12
iq,2013,5,9
iq,2013,6,13
iq,2013,7,8
iq,2013,8,8
iq,2013,9,7
iq,2013,10,9
iq,2013,11,8
iq,2013,12,9
iq,2013,13,10
iq,2013,14,8
iq,2013,15,9
iq,2013,16,8
iq,2013,17,8
iq,2013,18,12
iq,2013,19,7
iq,2013,20,8
iq,2013,21,10
iq,2013,22,8
iq,2013,23,5
iq,2013,24,6
iq,2013,25,4
iq,2013,26,4
