city,year,weekofyear,total_cases
sj,2008,18,43
sj,2008,19,44
sj,2008,20,40
sj,2008,21,41
sj,2008,22,47
sj,2008,23,42
sj,2008,24,47
sj,2008,25,46
sj,2008,26,49
sj,2008,27,46
sj,2008,28,52
sj,2008,29,45
sj,2008,30,46
sj,2008,31,51
sj,2008,32,52
sj,2008,33,54
sj,2008,34,51
sj,2008,35,55
sj,2008,36,54
sj,2008,37,52
sj,2008,38,55
sj,2008,39,62
sj,2008,40,62
sj,2008,41,58
sj,2008,42,63
sj,2008,43,60
sj,2008,44,61
sj,2008,45,63
sj,2008,46,63
sj,2008,47,64
sj,2008,48,66
sj,2008,49,67
sj,2008,50,66
sj,2008,51,67
sj,2008,52,68
sj,2009,1,23
sj,2009,2,29
sj,2009,3,26
sj,2009,4,25
sj,2009,5,27
sj,2009,6,27
sj,2009,7,31
sj,2009,8,32
sj,2009,9,31
sj,2009,10,30
sj,2009,11,33
sj,2009,12,30
sj,2009,13,31
sj,2009,14,31
sj,2009,15,31
sj,2009,16,31
sj,2009,17,36
sj,2009,18,37
sj,2009,19,33
sj,2009,20,33
sj,2009,21,33
sj,2009,22,31
sj,2009,23,38
sj,2009,24,38
sj,2009,25,37
sj,2009,26,40
sj,2009,27,33
sj,2009,28,42
sj,2009,29,37
sj,2009,30,42
sj,2009,31,44
sj,2009,32,45
sj,2009,33,47
sj,2009,34,42
sj,2009,35,45
sj,2009,36,53
sj,2009,37,50
sj,2009,38,47
sj,2009,39,50
sj,2009,40,49
sj,2009,41,49
sj,2009,42,48
sj,2009,43,56
sj,2009,44,52
sj,2009,45,53
sj,2009,46,60
sj,2009,47,57
sj,2009,48,55
sj,2009,49,57
sj,2009,50,62
sj,2009,51,60
sj,2009,52,62
sj,2010,53,52
sj,2010,1,20
sj,2010,2,24
sj,2010,3,20
sj,2010,4,18
sj,2010,5,26
sj,2010,6,20
sj,2010,7,22
sj,2010,8,28
sj,2010,9,20
sj,2010,10,33
sj,2010,11,33
sj,2010,12,30
sj,2010,13,27
sj,2010,14,34
sj,2010,15,30
sj,2010,16,30
sj,2010,17,27
sj,2010,18,31
sj,2010,19,31
sj,2010,20,28
sj,2010,21,28
sj,2010,22,32
sj,2010,23,28
sj,2010,24,32
sj,2010,25,37
sj,2010,26,37
sj,2010,27,35
sj,2010,28,37
sj,2010,29,37
sj,2010,30,37
sj,2010,31,34
sj,2010,32,41
sj,2010,33,37
sj,2010,34,41
sj,2010,35,42
sj,2010,36,41
sj,2010,37,43
sj,2010,38,42
sj,2010,39,43
sj,2010,40,39
sj,2010,41,42
sj,2010,42,41
sj,2010,43,52
sj,2010,44,50
sj,2010,45,51
sj,2010,46,45
sj,2010,47,53
sj,2010,48,54
sj,2010,49,51
sj,2010,50,47
sj,2010,51,57
sj,2011,52,44
sj,2011,1,10
sj,2011,2,15
sj,2011,3,13
sj,2011,4,14
sj,2011,5,15
sj,2011,6,15
sj,2011,7,14
sj,2011,8,17
sj,2011,9,16
sj,2011,10,19
sj,2011,11,17
sj,2011,12,17
sj,2011,13,21
sj,2011,14,19
sj,2011,15,21
sj,2011,16,17
sj,2011,17,20
sj,2011,18,22
sj,2011,19,22
sj,2011,20,31
sj,2011,21,32
sj,2011,22,23
sj,2011,23,30
sj,2011,24,34
sj,2011,25,32
sj,2011,26,29
sj,2011,27,28
sj,2011,28,26
sj,2011,29,33
sj,2011,30,28
sj,2011,31,31
sj,2011,32,32
sj,2011,33,33
sj,2011,34,34
sj,2011,35,37
sj,2011,36,34
sj,2011,37,34
sj,2011,38,41
sj,2011,39,36
sj,2011,40,40
sj,2011,41,41
sj,2011,42,43
sj,2011,43,45
sj,2011,44,43
sj,2011,45,43
sj,2011,46,45
sj,2011,47,40
sj,2011,48,44
sj,2011,49,46
sj,2011,50,39
sj,2011,51,44
sj,2012,52,39
sj,2012,1,4
sj,2012,2,9
sj,2012,3,6
sj,2012,4,5
sj,2012,5,6
sj,2012,6,7
sj,2012,7,9
sj,2012,8,7
sj,2012,9,8
sj,2012,10,9
sj,2012,11,8
sj,2012,12,8
sj,2012,13,10
sj,2012,14,13
sj,2012,15,10
sj,2012,16,12
sj,2012,17,18
sj,2012,18,14
sj,2012,19,11
sj,2012,20,13
sj,2012,21,11
sj,2012,22,16
sj,2012,23,16
sj,2012,24,17
sj,2012,25,15
sj,2012,26,18
sj,2012,27,22
sj,2012,28,23
sj,2012,29,19
sj,2012,30,22
sj,2012,31,24
sj,2012,32,24
sj,2012,33,28
sj,2012,34,24
sj,2012,35,28
sj,2012,36,26
sj,2012,37,23
sj,2012,38,25
sj,2012,39,30
sj,2012,40,32
sj,2012,41,30
sj,2012,42,34
sj,2012,43,33
sj,2012,44,35
sj,2012,45,34
sj,2012,46,34
sj,2012,47,34
sj,2012,48,36
sj,2012,49,37
sj,2012,50,40
sj,2012,51,41
sj,2013,1,-3
sj,2013,2,-2
sj,2013,3,4
sj,2013,4,-2
sj,2013,5,-1
sj,2013,6,2
sj,2013,7,3
sj,2013,8,5
sj,2013,9,1
sj,2013,10,3
sj,2013,11,6
sj,2013,12,2
sj,2013,13,3
sj,2013,14,8
sj,2013,15,5
sj,2013,16,2
sj,2013,17,8
iq,2010,26,6
iq,2010,27,5
iq,2010,28,6
iq,2010,29,2
iq,2010,30,3
iq,2010,31,5
iq,2010,32,2
iq,2010,33,5
iq,2010,34,4
iq,2010,35,7
iq,2010,36,6
iq,2010,37,6
iq,2010,38,6
iq,2010,39,5
iq,2010,40,7
iq,2010,41,6
iq,2010,42,6
iq,2010,43,7
iq,2010,44,8
iq,2010,45,7
iq,2010,46,7
iq,2010,47,6
iq,2010,48,8
iq,2010,49,8
iq,2010,50,6
iq,2010,51,5
iq,2011,52,6
iq,2011,1,6
iq,2011,2,8
iq,2011,3,7
iq,2011,4,6
iq,2011,5,6
iq,2011,6,7
iq,2011,7,8
iq,2011,8,7
iq,2011,9,7
iq,2011,10,8
iq,2011,11,7
iq,2011,12,8
iq,2011,13,7
iq,2011,14,8
iq,2011,15,7
iq,2011,16,7
iq,2011,17,8
iq,2011,18,7
iq,2011,19,4
iq,2011,20,6
iq,2011,21,7
iq,2011,22,6
iq,2011,23,5
iq,2011,24,5
iq,2011,25,3
iq,2011,26,4
iq,2011,27,4
iq,2011,28,2
iq,2011,29,5
iq,2011,30,5
iq,2011,31,4
iq,2011,32,5
iq,2011,33,3
iq,2011,34,4
iq,2011,35,4
iq,2011,36,4
iq,2011,37,7
iq,2011,38,6
iq,2011,39,7
iq,2011,40,5
iq,2011,41,7
iq,2011,42,9
iq,2011,43,6
iq,2011,44,6
iq,2011,45,7
iq,2011,46,7
iq,2011,47,7
iq,2011,48,7
iq,2011,49,7
iq,2011,50,7
iq,2011,51,7
iq,2012,52,8
iq,2012,1,7
iq,2012,2,8
iq,2012,3,8
iq,2012,4,7
iq,2012,5,8
iq,2012,6,8
iq,2012,7,9
iq,2012,8,8
iq,2012,9,7
iq,2012,10,8
iq,2012,11,7
iq,2012,12,7
iq,2012,13,9
iq,2012,14,7
iq,2012,15,9
iq,2012,16,10
iq,2012,17,7
iq,2012,18,8
iq,2012,19,5
iq,2012,20,8
iq,2012,21,5
iq,2012,22,6
iq,2012,23,6
iq,2012,24,5
iq,2012,25,5
iq,2012,26,6
iq,2012,27,4
iq,2012,28,5
iq,2012,29,6
iq,2012,30,1
iq,2012,31,4
iq,2012,32,3
iq,2012,33,3
iq,2012,34,5
iq,2012,35,6
iq,2012,36,5
iq,2012,37,6
iq,2012,38,5
iq,2012,39,7
iq,2012,40,6
iq,2012,41,8
iq,2012,42,7
iq,2012,43,9
iq,2012,44,8
iq,2012,45,7
iq,2012,46,9
iq,2012,47,9
iq,2012,48,8
iq,2012,49,8
iq,2012,50,8
iq,2012,51,9
iq,2013,1,9
iq,2013,2,7
iq,2013,3,8
iq,2013,4,9
