city,year,weekofyear,total_cases
sj,2008,18,22
sj,2008,19,24
sj,2008,20,20
sj,2008,21,21
sj,2008,22,20
sj,2008,23,22
sj,2008,24,21
sj,2008,25,29
sj,2008,26,19
sj,2008,27,19
sj,2008,28,37
sj,2008,29,26
sj,2008,30,48
sj,2008,31,87
sj,2008,32,50
sj,2008,33,94
sj,2008,34,50
sj,2008,35,62
sj,2008,36,160
sj,2008,37,85
sj,2008,38,57
sj,2008,39,91
sj,2008,40,49
sj,2008,41,102
sj,2008,42,150
sj,2008,43,125
sj,2008,44,90
sj,2008,45,85
sj,2008,46,103
sj,2008,47,102
sj,2008,48,110
sj,2008,49,81
sj,2008,50,77
sj,2008,51,93
sj,2008,52,62
sj,2009,1,70
sj,2009,2,54
sj,2009,3,40
sj,2009,4,28
sj,2009,5,29
sj,2009,6,33
sj,2009,7,28
sj,2009,8,30
sj,2009,9,29
sj,2009,10,35
sj,2009,11,20
sj,2009,12,20
sj,2009,13,20
sj,2009,14,20
sj,2009,15,19
sj,2009,16,15
sj,2009,17,21
sj,2009,18,17
sj,2009,19,20
sj,2009,20,21
sj,2009,21,17
sj,2009,22,16
sj,2009,23,20
sj,2009,24,22
sj,2009,25,22
sj,2009,26,39
sj,2009,27,27
sj,2009,28,66
sj,2009,29,41
sj,2009,30,39
sj,2009,31,97
sj,2009,32,91
sj,2009,33,96
sj,2009,34,197
sj,2009,35,202
sj,2009,36,322
sj,2009,37,211
sj,2009,38,169
sj,2009,39,136
sj,2009,40,218
sj,2009,41,157
sj,2009,42,221
sj,2009,43,210
sj,2009,44,157
sj,2009,45,150
sj,2009,46,200
sj,2009,47,250
sj,2009,48,272
sj,2009,49,159
sj,2009,50,167
sj,2009,51,188
sj,2009,52,140
sj,2010,53,63
sj,2010,1,58
sj,2010,2,55
sj,2010,3,56
sj,2010,4,49
sj,2010,5,46
sj,2010,6,50
sj,2010,7,44
sj,2010,8,50
sj,2010,9,32
sj,2010,10,39
sj,2010,11,23
sj,2010,12,38
sj,2010,13,35
sj,2010,14,28
sj,2010,15,30
sj,2010,16,25
sj,2010,17,41
sj,2010,18,39
sj,2010,19,20
sj,2010,20,29
sj,2010,21,38
sj,2010,22,36
sj,2010,23,71
sj,2010,24,47
sj,2010,25,30
sj,2010,26,48
sj,2010,27,45
sj,2010,28,73
sj,2010,29,74
sj,2010,30,76
sj,2010,31,59
sj,2010,32,51
sj,2010,33,78
sj,2010,34,67
sj,2010,35,111
sj,2010,36,94
sj,2010,37,60
sj,2010,38,96
sj,2010,39,80
sj,2010,40,76
sj,2010,41,75
sj,2010,42,69
sj,2010,43,42
sj,2010,44,51
sj,2010,45,83
sj,2010,46,65
sj,2010,47,53
sj,2010,48,70
sj,2010,49,44
sj,2010,50,61
sj,2010,51,47
sj,2011,52,29
sj,2011,1,18
sj,2011,2,19
sj,2011,3,22
sj,2011,4,16
sj,2011,5,14
sj,2011,6,12
sj,2011,7,9
sj,2011,8,9
sj,2011,9,9
sj,2011,10,5
sj,2011,11,6
sj,2011,12,4
sj,2011,13,6
sj,2011,14,5
sj,2011,15,5
sj,2011,16,5
sj,2011,17,6
sj,2011,18,7
sj,2011,19,7
sj,2011,20,4
sj,2011,21,4
sj,2011,22,8
sj,2011,23,7
sj,2011,24,16
sj,2011,25,18
sj,2011,26,13
sj,2011,27,9
sj,2011,28,12
sj,2011,29,14
sj,2011,30,30
sj,2011,31,19
sj,2011,32,56
sj,2011,33,24
sj,2011,34,43
sj,2011,35,43
sj,2011,36,29
sj,2011,37,31
sj,2011,38,44
sj,2011,39,36
sj,2011,40,39
sj,2011,41,40
sj,2011,42,36
sj,2011,43,27
sj,2011,44,43
sj,2011,45,61
sj,2011,46,31
sj,2011,47,40
sj,2011,48,32
sj,2011,49,26
sj,2011,50,43
sj,2011,51,25
sj,2012,52,20
sj,2012,1,19
sj,2012,2,10
sj,2012,3,12
sj,2012,4,11
sj,2012,5,11
sj,2012,6,13
sj,2012,7,8
sj,2012,8,8
sj,2012,9,7
sj,2012,10,7
sj,2012,11,6
sj,2012,12,5
sj,2012,13,4
sj,2012,14,5
sj,2012,15,5
sj,2012,16,11
sj,2012,17,5
sj,2012,18,7
sj,2012,19,6
sj,2012,20,6
sj,2012,21,3
sj,2012,22,6
sj,2012,23,5
sj,2012,24,10
sj,2012,25,105
sj,2012,26,57
sj,2012,27,8
sj,2012,28,12
sj,2012,29,12
sj,2012,30,10
sj,2012,31,15
sj,2012,32,23
sj,2012,33,25
sj,2012,34,21
sj,2012,35,22
sj,2012,36,15
sj,2012,37,31
sj,2012,38,16
sj,2012,39,28
sj,2012,40,22
sj,2012,41,19
sj,2012,42,22
sj,2012,43,21
sj,2012,44,38
sj,2012,45,33
sj,2012,46,24
sj,2012,47,25
sj,2012,48,20
sj,2012,49,16
sj,2012,50,23
sj,2012,51,13
sj,2013,1,18
sj,2013,2,17
sj,2013,3,12
sj,2013,4,13
sj,2013,5,12
sj,2013,6,10
sj,2013,7,7
sj,2013,8,12
sj,2013,9,7
sj,2013,10,9
sj,2013,11,5
sj,2013,12,4
sj,2013,13,5
sj,2013,14,5
sj,2013,15,7
sj,2013,16,4
sj,2013,17,6
iq,2010,26,5
iq,2010,27,0
iq,2010,28,3
iq,2010,29,0
iq,2010,30,0
iq,2010,31,0
iq,2010,32,0
iq,2010,33,0
iq,2010,34,0
iq,2010,35,0
iq,2010,36,3
iq,2010,37,0
iq,2010,38,0
iq,2010,39,2
iq,2010,40,0
iq,2010,41,1
iq,2010,42,11
iq,2010,43,3
iq,2010,44,4
iq,2010,45,5
iq,2010,46,2
iq,2010,47,4
iq,2010,48,20
iq,2010,49,2
iq,2010,50,5
iq,2010,51,0
iq,2011,52,3
iq,2011,1,7
iq,2011,2,7
iq,2011,3,17
iq,2011,4,9
iq,2011,5,10
iq,2011,6,21
iq,2011,7,10
iq,2011,8,17
iq,2011,9,7
iq,2011,10,4
iq,2011,11,19
iq,2011,12,8
iq,2011,13,8
iq,2011,14,3
iq,2011,15,4
iq,2011,16,8
iq,2011,17,6
iq,2011,18,6
iq,2011,19,4
iq,2011,20,3
iq,2011,21,3
iq,2011,22,2
iq,2011,23,3
iq,2011,24,5
iq,2011,25,2
iq,2011,26,3
iq,2011,27,3
iq,2011,28,1
iq,2011,29,9
iq,2011,30,4
iq,2011,31,2
iq,2011,32,2
iq,2011,33,7
iq,2011,34,1
iq,2011,35,2
iq,2011,36,1
iq,2011,37,3
iq,2011,38,4
iq,2011,39,3
iq,2011,40,3
iq,2011,41,19
iq,2011,42,12
iq,2011,43,7
iq,2011,44,15
iq,2011,45,8
iq,2011,46,7
iq,2011,47,5
iq,2011,48,7
iq,2011,49,14
iq,2011,50,7
iq,2011,51,6
iq,2012,52,8
iq,2012,1,16
iq,2012,2,13
iq,2012,3,16
iq,2012,4,17
iq,2012,5,14
iq,2012,6,9
iq,2012,7,14
iq,2012,8,18
iq,2012,9,15
iq,2012,10,8
iq,2012,11,8
iq,2012,12,3
iq,2012,13,8
iq,2012,14,4
iq,2012,15,7
iq,2012,16,11
iq,2012,17,8
iq,2012,18,4
iq,2012,19,1
iq,2012,20,9
iq,2012,21,1
iq,2012,22,2
iq,2012,23,2
iq,2012,24,6
iq,2012,25,3
iq,2012,26,2
iq,2012,27,1
iq,2012,28,5
iq,2012,29,5
iq,2012,30,9
iq,2012,31,3
iq,2012,32,1
iq,2012,33,7
iq,2012,34,9
iq,2012,35,3
iq,2012,36,3
iq,2012,37,3
iq,2012,38,18
iq,2012,39,5
iq,2012,40,5
iq,2012,41,11
iq,2012,42,4
iq,2012,43,4
iq,2012,44,16
iq,2012,45,7
iq,2012,46,21
iq,2012,47,9
iq,2012,48,9
iq,2012,49,19
iq,2012,50,22
iq,2012,51,8
iq,2013,1,10
iq,2013,2,15
iq,2013,3,15
iq,2013,4,13
iq,2013,5,14
iq,2013,6,16
iq,2013,7,13
iq,2013,8,11
iq,2013,9,14
iq,2013,10,11
iq,2013,11,11
iq,2013,12,16
iq,2013,13,8
iq,2013,14,9
iq,2013,15,12
iq,2013,16,5
iq,2013,17,11
iq,2013,18,3
iq,2013,19,14
iq,2013,20,4
iq,2013,21,3
iq,2013,22,4
iq,2013,23,8
iq,2013,24,2
iq,2013,25,3
iq,2013,26,2
