city,year,weekofyear,total_cases
sj,2008,18,14
sj,2008,19,22
sj,2008,20,18
sj,2008,21,28
sj,2008,22,19
sj,2008,23,20
sj,2008,24,21
sj,2008,25,31
sj,2008,26,20
sj,2008,27,18
sj,2008,28,33
sj,2008,29,30
sj,2008,30,23
sj,2008,31,53
sj,2008,32,34
sj,2008,33,76
sj,2008,34,65
sj,2008,35,62
sj,2008,36,156
sj,2008,37,55
sj,2008,38,58
sj,2008,39,90
sj,2008,40,61
sj,2008,41,103
sj,2008,42,116
sj,2008,43,88
sj,2008,44,84
sj,2008,45,102
sj,2008,46,118
sj,2008,47,97
sj,2008,48,55
sj,2008,49,102
sj,2008,50,76
sj,2008,51,65
sj,2008,52,67
sj,2009,1,65
sj,2009,2,49
sj,2009,3,37
sj,2009,4,28
sj,2009,5,33
sj,2009,6,30
sj,2009,7,26
sj,2009,8,22
sj,2009,9,27
sj,2009,10,22
sj,2009,11,27
sj,2009,12,20
sj,2009,13,23
sj,2009,14,18
sj,2009,15,21
sj,2009,16,19
sj,2009,17,18
sj,2009,18,22
sj,2009,19,32
sj,2009,20,20
sj,2009,21,18
sj,2009,22,21
sj,2009,23,25
sj,2009,24,22
sj,2009,25,29
sj,2009,26,41
sj,2009,27,42
sj,2009,28,50
sj,2009,29,45
sj,2009,30,66
sj,2009,31,96
sj,2009,32,118
sj,2009,33,152
sj,2009,34,174
sj,2009,35,194
sj,2009,36,177
sj,2009,37,227
sj,2009,38,146
sj,2009,39,210
sj,2009,40,192
sj,2009,41,234
sj,2009,42,201
sj,2009,43,216
sj,2009,44,187
sj,2009,45,176
sj,2009,46,247
sj,2009,47,311
sj,2009,48,261
sj,2009,49,154
sj,2009,50,206
sj,2009,51,199
sj,2009,52,146
sj,2010,53,121
sj,2010,1,57
sj,2010,2,62
sj,2010,3,51
sj,2010,4,54
sj,2010,5,49
sj,2010,6,54
sj,2010,7,52
sj,2010,8,48
sj,2010,9,41
sj,2010,10,53
sj,2010,11,28
sj,2010,12,35
sj,2010,13,33
sj,2010,14,28
sj,2010,15,25
sj,2010,16,27
sj,2010,17,43
sj,2010,18,39
sj,2010,19,28
sj,2010,20,34
sj,2010,21,31
sj,2010,22,48
sj,2010,23,88
sj,2010,24,47
sj,2010,25,36
sj,2010,26,36
sj,2010,27,57
sj,2010,28,96
sj,2010,29,95
sj,2010,30,81
sj,2010,31,83
sj,2010,32,136
sj,2010,33,69
sj,2010,34,117
sj,2010,35,113
